iter	Passed	Remaining
0	6	2504
1	10	2145
2	15	1989
3	19	1927
4	23	1889
5	29	1910
6	33	1879
7	38	1867
8	42	1854
9	47	1842
10	51	1829
11	56	1821
12	61	1821
13	65	1805
14	70	1809
15	75	1805
16	80	1802
17	84	1795
18	89	1787
19	93	1785
20	98	1774
21	102	1768
22	107	1758
23	111	1752
24	116	1742
25	120	1735
26	124	1726
27	129	1718
28	133	1713
29	138	1708
30	143	1702
31	147	1697
32	152	1694
33	156	1688
34	161	1682
35	165	1674
36	170	1671
37	174	1665
38	179	1662
39	184	1656
40	188	1652
41	193	1648
42	197	1642
43	202	1638
44	206	1631
45	211	1625
46	215	1619
47	220	1613
48	224	1608
49	229	1608
50	234	1601
51	238	1597
52	243	1595
53	247	1588
54	252	1582
55	256	1575
56	261	1572
57	265	1566
58	269	1560
59	274	1555
60	278	1550
61	283	1544
62	287	1539
63	292	1536
64	296	1529
65	301	1525
66	305	1518
67	309	1512
68	313	1505
69	318	1500
70	322	1495
71	327	1490
72	331	1485
73	335	1479
74	340	1474
75	344	1470
76	350	1468
77	354	1463
78	359	1459
79	363	1453
80	367	1447
81	371	1441
82	376	1437
83	380	1431
84	384	1425
85	389	1420
86	393	1416
87	397	1410
88	402	1405
89	406	1400
90	410	1394
91	415	1389
92	419	1384
93	423	1379
94	428	1374
95	432	1369
96	436	1364
97	440	1358
98	445	1354
99	449	1348
100	453	1343
101	457	1338
102	462	1333
103	466	1328
104	471	1324
105	475	1319
106	480	1315
107	484	1310
108	488	1305
109	493	1301
110	498	1297
111	502	1292
112	506	1287
113	511	1282
114	515	1276
115	519	1271
116	523	1266
117	528	1262
118	532	1257
119	536	1251
120	540	1247
121	545	1242
122	549	1237
123	553	1232
124	557	1227
125	561	1221
126	566	1216
127	570	1211
128	574	1206
129	578	1201
130	583	1198
131	587	1193
132	592	1189
133	596	1184
134	601	1180
135	605	1175
136	610	1171
137	614	1166
138	618	1161
139	623	1157
140	627	1152
141	631	1148
142	636	1144
143	641	1139
144	645	1134
145	649	1129
146	653	1125
147	658	1120
148	662	1116
149	666	1111
150	671	1107
151	675	1102
152	679	1097
153	684	1093
154	688	1088
155	692	1083
156	697	1079
157	701	1074
158	706	1070
159	710	1065
160	714	1060
161	719	1056
162	723	1052
163	728	1047
164	732	1043
165	737	1038
166	741	1034
167	745	1029
168	749	1024
169	753	1019
170	758	1015
171	762	1010
172	766	1005
173	770	1001
174	775	996
175	779	992
176	783	987
177	788	983
178	792	978
179	797	974
180	801	969
181	805	964
182	809	960
183	814	955
184	818	951
185	823	947
186	828	943
187	832	938
188	836	934
189	840	929
190	845	924
191	849	920
192	853	915
193	857	911
194	862	906
195	867	902
196	871	897
197	875	893
198	879	888
199	883	883
200	888	879
201	892	875
202	897	870
203	901	866
204	905	861
205	911	858
206	915	853
207	919	848
208	923	844
209	928	840
210	932	835
211	936	830
212	941	826
213	945	821
214	949	816
215	953	812
216	957	807
217	961	803
218	966	798
219	970	794
220	975	789
221	980	786
222	985	781
223	989	777
224	993	772
225	997	768
226	1002	763
227	1006	759
228	1010	754
229	1016	751
230	1020	746
231	1024	742
232	1028	737
233	1032	732
234	1037	728
235	1041	723
236	1045	718
237	1049	714
238	1053	709
239	1057	705
240	1062	700
241	1066	696
242	1071	692
243	1075	687
244	1079	682
245	1083	678
246	1087	673
247	1091	669
248	1096	664
249	1100	660
250	1105	656
251	1110	651
252	1113	647
253	1118	642
254	1122	638
255	1126	633
256	1130	629
257	1134	624
258	1139	620
259	1143	615
260	1147	611
261	1151	606
262	1155	602
263	1160	597
264	1164	593
265	1168	588
266	1173	584
267	1177	580
268	1181	575
269	1185	570
270	1189	566
271	1194	562
272	1198	557
273	1203	553
274	1207	548
275	1211	544
276	1215	539
277	1219	535
278	1223	530
279	1228	526
280	1232	521
281	1236	517
282	1241	513
283	1245	508
284	1249	504
285	1253	499
286	1257	495
287	1262	491
288	1267	486
289	1271	482
290	1275	477
291	1279	473
292	1284	468
293	1289	464
294	1293	460
295	1297	455
296	1301	451
297	1305	446
298	1310	442
299	1314	438
300	1318	433
301	1322	429
302	1326	424
303	1331	420
304	1335	415
305	1339	411
306	1343	407
307	1347	402
308	1352	398
309	1356	393
310	1361	389
311	1365	385
312	1369	380
313	1373	376
314	1377	371
315	1381	367
316	1385	362
317	1390	358
318	1394	354
319	1398	349
320	1403	345
321	1407	340
322	1411	336
323	1415	332
324	1419	327
325	1424	323
326	1428	318
327	1432	314
328	1436	309
329	1440	305
330	1444	301
331	1449	296
332	1453	292
333	1457	288
334	1461	283
335	1465	279
336	1469	274
337	1474	270
338	1478	266
339	1482	261
340	1486	257
341	1491	252
342	1495	248
343	1499	244
344	1503	239
345	1508	235
346	1512	231
347	1516	226
348	1521	222
349	1525	217
350	1529	213
351	1534	209
352	1538	204
353	1542	200
354	1546	196
355	1550	191
356	1555	187
357	1559	182
358	1563	178
359	1568	174
360	1572	169
361	1577	165
362	1583	161
363	1587	156
364	1591	152
365	1595	148
366	1599	143
367	1605	139
368	1609	135
369	1614	130
370	1619	126
371	1623	122
372	1627	117
373	1631	113
374	1636	109
375	1640	104
376	1644	100
377	1648	95
378	1652	91
379	1657	87
380	1661	82
381	1665	78
382	1669	74
383	1674	69
384	1678	65
385	1682	61
386	1687	56
387	1692	52
388	1696	47
389	1701	43
390	1705	39
391	1710	34
392	1714	30
393	1719	26
394	1723	21
395	1727	17
396	1731	13
397	1735	8
398	1739	4
399	1744	0
